	Id	Predicted category
267	1446	Film
268	1447	Football
269	1454	Business
270	1461	Technology
271	1462	Technology
272	1463	Football
273	1466	Film
274	1469	Business
275	1475	Football
276	1485	Business
277	1488	Technology
278	1493	Business
279	1496	Politics
280	1497	Business
281	1500	Football
282	1502	Business
283	1508	Technology
284	1509	Business
285	1518	Technology
286	1522	Business
287	1524	Film
288	1527	Technology
289	1529	Film
290	1531	Film
291	1533	Film
292	1537	Film
293	1548	Technology
294	1555	Film
295	1556	Football
296	1558	Business
297	1568	Technology
298	1570	Politics
299	1571	Politics
300	1572	Film
301	1583	Politics
302	1589	Film
303	1597	Film
304	1602	Football
305	1606	Film
306	1607	Football
307	1613	Film
308	1624	Politics
309	1637	Technology
310	1638	Film
311	1639	Politics
312	1652	Technology
313	1654	Film
314	1663	Business
315	1675	Technology
316	1695	Business
317	1703	Business
318	1704	Film
319	1705	Business
320	1709	Film
321	1714	Technology
322	1715	Football
323	1725	Technology
324	1726	Technology
325	1741	Film
326	1749	Technology
327	1755	Politics
328	1760	Football
329	1761	Politics
330	1768	Business
331	1772	Film
332	1775	Politics
333	1778	Football
334	1779	Technology
335	1781	Technology
336	1784	Politics
337	1789	Football
338	1797	Technology
339	1803	Football
340	1805	Politics
341	1812	Film
342	1819	Business
343	1833	Politics
344	1843	Business
345	1844	Business
346	1845	Film
347	1860	Football
348	1864	Film
349	1873	Politics
350	1878	Film
351	1879	Technology
352	1884	Technology
353	1885	Film
354	1889	Business
355	1895	Politics
356	1907	Film
357	1908	Business
358	1910	Film
359	1915	Film
360	1917	Film
361	1920	Football
362	1921	Politics
363	1928	Film
364	1951	Film
365	1962	Football
366	1963	Politics
367	1964	Technology
368	1965	Business
369	1967	Football
370	1968	Film
371	1972	Film
372	1981	Politics
373	1985	Business
374	1987	Film
375	1988	Football
376	1990	Business
377	1991	Film
378	1992	Film
379	1996	Film
380	2004	Film
381	2007	Film
382	2008	Technology
383	2028	Film
384	2037	Politics
385	2063	Football
386	2076	Film
387	2079	Business
388	2081	Film
389	2083	Film
390	2086	Film
391	2100	Politics
392	2101	Football
393	2103	Business
394	2104	Technology
395	2116	Business
396	2117	Technology
397	2118	Business
398	2119	Football
399	2132	Football
400	2134	Politics
401	2136	Film
402	2138	Film
403	2151	Politics
404	2154	Film
405	2158	Film
406	2164	Technology
407	2168	Business
408	2172	Film
409	2181	Politics
410	2191	Film
411	2192	Technology
412	2193	Politics
413	2198	Film
414	2199	Politics
415	2205	Technology
416	2207	Technology
417	2214	Football
418	2224	Business
419	2228	Business
420	2229	Politics
421	2230	Business
422	2232	Technology
423	2244	Business
424	2246	Politics
425	2259	Business
426	2266	Business
427	2275	Business
428	2277	Business
429	2278	Business
430	2279	Business
431	2288	Film
432	2300	Business
433	2301	Technology
434	2307	Business
435	2315	Business
436	2318	Business
437	2320	Business
438	2323	Business
439	2324	Business
440	2325	Football
441	2340	Business
442	2341	Business
443	2348	Business
444	2350	Technology
445	2353	Business
446	2362	Business
447	2375	Business
448	2377	Business
449	2380	Football
450	2383	Film
451	2387	Business
452	2391	Technology
453	2394	Football
454	2395	Film
455	2399	Business
456	2410	Business
457	2411	Film
458	2415	Football
459	2422	Business
460	2424	Film
461	2426	Technology
462	2432	Business
463	2436	Business
464	2437	Business
465	2445	Business
466	2447	Business
467	2448	Business
468	2464	Business
469	2468	Business
470	2473	Business
471	2477	Film
472	2487	Film
473	2491	Business
474	2492	Film
475	2493	Film
476	2496	Football
477	2499	Business
478	2507	Business
479	2514	Business
480	2526	Business
481	2530	Business
482	2537	Film
483	2538	Business
484	2539	Business
485	2541	Business
486	2542	Football
487	2543	Technology
488	2545	Technology
489	2551	Politics
490	2554	Technology
491	2556	Technology
492	2558	Film
493	2559	Film
494	2560	Film
495	2561	Football
496	2566	Technology
497	2568	Politics
498	2573	Football
499	2574	Business
500	2575	Football
501	2580	Business
502	2583	Film
503	2591	Football
504	2597	Politics
505	2599	Business
506	2605	Business
507	2607	Football
508	2614	Business
509	2620	Business
510	2622	Business
511	2629	Business
512	2641	Business
513	2642	Football
514	2643	Business
515	2644	Business
516	2649	Business
517	2653	Business
518	2661	Film
519	2662	Film
520	2667	Film
521	2670	Business
522	2678	Business
523	2681	Business
524	2684	Film
525	2691	Business
526	2702	Film
527	2704	Film
528	2706	Technology
529	2722	Film
530	2732	Business
531	2735	Film
532	2736	Football
533	2741	Technology
534	2745	Business
535	2747	Business
536	2748	Business
537	2751	Politics
538	2753	Business
539	2760	Film
540	2763	Business
541	2766	Business
542	2768	Technology
543	2771	Business
544	2774	Film
545	2777	Football
546	2778	Politics
547	2781	Football
548	2782	Film
549	2783	Business
550	2788	Business
551	2789	Technology
552	2794	Film
553	2798	Technology
554	2804	Business
555	2807	Business
556	2808	Politics
557	2812	Business
558	2818	Film
559	2820	Film
560	2833	Film
561	2834	Business
562	2837	Business
563	2840	Business
564	2841	Business
565	2842	Business
566	2849	Film
567	2855	Politics
568	2861	Film
569	2870	Film
570	2873	Business
571	2878	Film
572	2885	Film
573	2892	Business
574	2896	Film
575	2905	Film
576	2908	Film
577	2916	Business
578	2917	Film
579	2926	Film
580	2927	Business
581	2932	Football
582	2940	Politics
583	2944	Technology
584	2946	Politics
585	2947	Business
586	2948	Football
587	2952	Technology
588	2957	Business
589	2969	Business
590	2970	Film
591	2979	Business
592	2994	Technology
593	2998	Film
594	2999	Technology
595	3002	Football
596	3003	Business
597	3009	Film
598	3013	Technology
599	3015	Film
600	3016	Politics
601	3021	Business
602	3023	Football
603	3029	Business
604	3030	Business
605	3032	Business
606	3033	Film
607	3039	Politics
608	3048	Film
609	3054	Film
610	3055	Film
611	3065	Technology
612	3066	Technology
613	3072	Politics
614	3075	Film
615	3077	Film
616	3078	Film
617	3079	Football
618	3081	Business
619	3094	Technology
620	3095	Business
621	3105	Film
622	3108	Football
623	3110	Film
624	3117	Technology
625	3121	Football
626	3126	Technology
627	3128	Film
628	3129	Technology
629	3130	Football
630	3131	Politics
631	3132	Technology
632	3134	Technology
633	3135	Technology
634	3144	Technology
635	3173	Technology
636	3175	Politics
637	3178	Business
638	3185	Film
639	3187	Business
640	3211	Politics
641	3212	Technology
642	3221	Politics
643	3223	Business
644	3225	Technology
645	3229	Film
646	3232	Football
647	3236	Politics
648	3248	Business
649	3258	Business
650	3262	Film
651	3266	Football
652	3268	Business
653	3277	Film
654	3279	Business
655	3284	Film
656	3286	Film
657	3289	Film
658	3291	Film
659	3293	Politics
660	3294	Football
661	3298	Business
662	3299	Film
663	3309	Film
664	3321	Football
665	3323	Business
666	3329	Business
667	3334	Business
668	3335	Business
669	3345	Business
670	3347	Film
671	3355	Business
672	3359	Film
673	3367	Business
674	3369	Film
675	3375	Business
676	3379	Business
677	3382	Business
678	3390	Film
679	3391	Film
680	3396	Film
681	3398	Business
682	3401	Technology
683	3405	Business
684	3414	Business
685	3416	Business
686	3419	Business
687	3420	Film
688	3429	Football
689	3432	Business
690	3440	Business
691	3441	Film
692	3442	Politics
693	3448	Football
694	3457	Politics
695	3462	Film
696	3463	Film
697	3464	Business
698	3472	Film
699	3474	Film
700	3477	Football
701	3478	Technology
702	3485	Film
703	3488	Politics
704	3501	Football
705	3506	Film
706	3521	Business
707	3528	Business
708	3534	Business
709	3543	Business
710	3554	Technology
711	3555	Football
712	3559	Technology
713	3561	Technology
714	3563	Film
715	3575	Business
716	3577	Film
717	3580	Business
718	3582	Film
719	3594	Film
720	3607	Technology
721	3614	Technology
722	3630	Technology
723	3636	Business
724	3638	Business
725	3643	Football
726	3644	Politics
727	3647	Football
728	3649	Technology
729	3655	Politics
730	3656	Film
731	3667	Business
732	3668	Technology
733	3672	Football
734	3673	Film
735	3675	Football
736	3676	Business
737	3677	Business
738	3686	Technology
739	3688	Football
740	3690	Business
741	3693	Film
742	3697	Football
743	3699	Football
744	3705	Politics
745	3711	Business
746	3713	Business
747	3719	Film
748	3721	Film
749	3726	Football
750	3727	Film
751	3733	Film
752	3738	Film
753	3740	Technology
754	3747	Politics
755	3753	Film
756	3762	Business
757	3768	Technology
758	3770	Business
759	3772	Film
760	3774	Technology
761	3775	Business
762	3787	Business
763	3792	Technology
764	3794	Business
765	3795	Business
766	3819	Business
767	3820	Football
768	3837	Film
769	3840	Film
770	3846	Business
771	3851	Business
772	3855	Film
773	3857	Film
774	3863	Technology
775	3869	Business
776	3874	Film
777	3880	Business
778	3881	Technology
779	3885	Film
780	3889	Politics
781	3893	Film
782	3896	Football
783	3898	Film
784	3903	Film
785	3904	Film
786	3905	Film
787	3910	Film
788	3914	Business
789	3919	Politics
790	3924	Technology
791	3927	Business
792	3929	Film
793	3949	Business
794	3951	Film
795	3952	Politics
796	3959	Business
797	3963	Football
798	3974	Technology
799	3979	Business
800	3983	Politics
801	3985	Film
802	3990	Technology
803	3991	Technology
804	3992	Technology
805	3994	Technology
806	3997	Business
807	3999	Football
808	4006	Technology
809	4015	Business
810	4021	Film
811	4022	Technology
812	4031	Film
813	4040	Football
814	4045	Film
815	4047	Film
816	4060	Film
817	4066	Film
818	4067	Film
819	4072	Football
820	4078	Technology
821	4086	Business
822	4092	Politics
823	4098	Politics
824	4106	Football
825	4107	Football
826	4109	Football
827	4110	Football
828	4114	Technology
829	4116	Football
830	4121	Business
831	4122	Politics
832	4124	Technology
833	4125	Film
834	4126	Business
835	4128	Film
836	4130	Film
837	4132	Football
838	4144	Business
839	4155	Film
840	4163	Business
841	4165	Politics
842	4168	Technology
843	4176	Technology
844	4184	Technology
845	4187	Technology
846	4195	Film
847	4200	Technology
848	4213	Technology
849	4222	Technology
850	4223	Technology
851	4230	Film
852	4235	Politics
853	4236	Technology
854	4242	Football
855	4243	Business
856	4258	Technology
857	4261	Business
858	4262	Film
859	4263	Football
860	4266	Film
861	4268	Business
862	4279	Football
863	4297	Technology
864	4299	Film
865	4300	Technology
866	4301	Business
867	4309	Business
868	4320	Football
869	4327	Business
870	4330	Film
871	4338	Business
872	4340	Film
873	4341	Business
874	4352	Football
875	4353	Football
876	4356	Business
877	4357	Technology
878	4361	Film
879	4374	Politics
880	4383	Technology
881	4387	Film
882	4400	Politics
883	4402	Film
884	4414	Politics
885	4416	Film
886	4421	Film
887	4423	Film
888	4426	Football
889	4427	Football
890	4428	Business
891	4432	Technology
892	4435	Technology
893	4437	Politics
894	4441	Business
895	4451	Football
896	4453	Business
897	4456	Business
898	4457	Business
899	4461	Technology
900	4462	Business
901	4465	Film
902	4466	Film
903	4469	Football
904	4482	Business
905	4496	Film
906	4497	Technology
907	4502	Business
908	4503	Film
909	4510	Technology
910	4513	Film
911	4518	Politics
912	4523	Film
913	4528	Politics
914	4533	Football
915	4540	Film
916	4549	Film
917	4554	Politics
918	4555	Film
919	4566	Technology
920	4569	Business
921	4588	Football
922	4593	Film
923	4600	Film
924	4601	Technology
925	4603	Film
926	4608	Technology
927	4611	Football
928	4613	Football
929	4616	Business
930	4617	Politics
931	4619	Business
932	4621	Politics
933	4632	Film
934	4635	Business
935	4640	Business
936	4648	Technology
937	4659	Technology
938	4662	Business
939	4664	Business
940	4669	Business
941	4674	Technology
942	4677	Business
943	4682	Film
944	4683	Business
945	4685	Film
946	4687	Technology
947	4689	Football
948	4699	Technology
949	4713	Technology
950	4717	Football
951	4722	Football
952	4730	Business
953	4732	Film
954	4743	Business
955	4744	Film
956	4745	Film
957	4746	Technology
958	4748	Film
959	4751	Technology
960	4756	Film
961	4757	Film
962	4758	Politics
963	4760	Film
964	4761	Business
965	4771	Business
966	4773	Business
967	4776	Politics
968	4781	Technology
969	4784	Film
970	4798	Technology
971	4800	Film
972	4805	Politics
973	4809	Business
974	4817	Technology
975	4824	Football
976	4825	Politics
977	4828	Film
978	4830	Business
979	4833	Business
980	4837	Film
981	4838	Film
982	4847	Politics
983	4848	Film
984	4854	Film
985	4855	Politics
986	4861	Football
987	4864	Technology
988	4865	Business
989	4888	Technology
990	4890	Football
991	4898	Business
992	4900	Football
993	4902	Football
994	4910	Business
995	4912	Football
996	4914	Football
997	4916	Politics
998	4920	Film
999	4923	Film
1000	4926	Football
1001	4927	Film
1002	4928	Business
1003	4933	Business
1004	4940	Football
1005	4943	Business
1006	4963	Politics
1007	4966	Business
1008	4970	Technology
1009	4973	Business
1010	4974	Technology
1011	4976	Politics
1012	4977	Film
1013	4979	Film
1014	4985	Business
1015	4991	Business
1016	4997	Football
1017	5008	Technology
1018	5013	Business
1019	5019	Film
1020	5034	Film
1021	5037	Film
1022	5041	Football
1023	5042	Politics
1024	5046	Film
1025	5051	Politics
1026	5054	Film
1027	5055	Technology
1028	5063	Business
1029	5072	Technology
1030	5075	Business
1031	5077	Business
1032	5079	Film
1033	5092	Football
1034	5101	Film
1035	5106	Technology
1036	5107	Business
1037	5128	Film
1038	5129	Football
1039	5130	Business
1040	5133	Politics
1041	5138	Business
1042	5164	Business
1043	5168	Business
1044	5172	Technology
1045	5177	Politics
1046	5188	Technology
1047	5194	Technology
1048	5195	Business
1049	5200	Business
1050	5202	Business
1051	5210	Technology
1052	5212	Football
1053	5214	Film
1054	5222	Football
1055	5232	Technology
1056	5237	Business
1057	5240	Politics
1058	5247	Technology
1059	5251	Football
1060	5255	Politics
1061	5256	Business
1062	5261	Technology
1063	5278	Football
1064	5281	Film
1065	5283	Film
1066	5284	Politics
1067	5288	Technology
1068	5290	Football
1069	5293	Business
1070	5295	Football
1071	5299	Technology
1072	5307	Football
1073	5311	Technology
1074	5313	Business
1075	5316	Technology
1076	5325	Football
1077	5338	Football
1078	5346	Football
1079	5348	Technology
1080	5350	Business
1081	5352	Football
1082	5360	Technology
1083	5365	Film
1084	5368	Technology
1085	5382	Politics
1086	5390	Business
1087	5401	Film
1088	5407	Politics
1089	5412	Business
1090	5419	Film
1091	5420	Football
1092	5424	Business
1093	5427	Film
1094	5432	Football
1095	5435	Politics
1096	5439	Football
1097	5440	Business
1098	5441	Technology
1099	5448	Technology
1100	5451	Football
1101	5452	Technology
1102	5455	Business
1103	5458	Film
1104	5462	Technology
1105	5463	Football
1106	5464	Technology
1107	5466	Technology
1108	5471	Business
1109	5478	Football
1110	5479	Technology
1111	5482	Business
1112	5483	Technology
1113	5491	Politics
1114	5492	Film
1115	5499	Politics
1116	5500	Politics
1117	5503	Business
1118	5513	Technology
1119	5514	Film
1120	5518	Business
1121	5522	Technology
1122	5527	Film
1123	5528	Film
1124	5530	Film
1125	5536	Technology
1126	5541	Football
1127	5550	Politics
1128	5553	Technology
1129	5554	Business
1130	5556	Football
1131	5561	Technology
1132	5564	Football
1133	5565	Politics
1134	5570	Football
1135	5574	Politics
1136	5581	Business
1137	5582	Business
1138	5586	Football
1139	5592	Business
1140	5599	Film
1141	5610	Technology
1142	5615	Business
1143	5622	Politics
1144	5623	Film
1145	5628	Football
1146	5637	Business
1147	5639	Technology
1148	5641	Football
1149	5648	Film
1150	5649	Football
1151	5660	Football
1152	5662	Football
1153	5664	Technology
1154	5666	Business
1155	5667	Film
1156	5679	Football
1157	5683	Football
1158	5689	Business
1159	5692	Business
1160	5693	Business
1161	5694	Technology
1162	5700	Film
1163	5701	Football
1164	5704	Business
1165	5707	Film
1166	5709	Film
1167	5711	Film
1168	5714	Football
1169	5717	Business
1170	5719	Business
1171	5728	Film
1172	5736	Film
1173	5738	Technology
1174	5742	Politics
1175	5744	Film
1176	5751	Film
1177	5752	Film
1178	5757	Business
1179	5760	Film
1180	5761	Business
1181	5763	Technology
1182	5775	Technology
1183	5781	Film
1184	5784	Technology
1185	5787	Film
1186	5796	Film
1187	5804	Business
1188	5805	Technology
1189	5816	Business
1190	5821	Business
1191	5823	Technology
1192	5827	Business
1193	5829	Business
1194	5833	Business
1195	5837	Film
1196	5838	Business
1197	5842	Film
1198	5849	Film
1199	5851	Film
1200	5865	Technology
1201	5873	Football
1202	5886	Business
1203	5895	Film
1204	5900	Football
1205	5906	Film
1206	5910	Football
1207	5913	Business
1208	5914	Technology
1209	5918	Business
1210	5930	Business
1211	5937	Business
1212	5942	Film
1213	5943	Business
1214	5947	Film
1215	5955	Business
1216	5960	Technology
1217	5962	Business
1218	5964	Business
1219	5968	Politics
1220	5971	Film
1221	5977	Film
1222	5981	Business
1223	5989	Film
1224	5990	Film
1225	5994	Technology
1226	5998	Technology
1227	6002	Politics
1228	6007	Business
1229	6018	Technology
1230	6019	Business
1231	6020	Film
1232	6026	Film
1233	6047	Football
1234	6056	Business
1235	6058	Technology
1236	6060	Technology
1237	6062	Technology
1238	6067	Business
1239	6069	Football
1240	6071	Football
1241	6073	Football
1242	6074	Film
1243	6081	Film
1244	6083	Film
1245	6085	Film
1246	6086	Politics
1247	6087	Film
1248	6093	Politics
1249	6101	Business
1250	6108	Film
1251	6110	Technology
1252	6111	Business
1253	6115	Business
1254	6120	Football
1255	6121	Business
1256	6125	Business
1257	6126	Politics
1258	6128	Business
1259	6130	Film
1260	6131	Technology
1261	6139	Football
1262	6140	Technology
1263	6143	Football
1264	6157	Business
1265	6170	Business
1266	6176	Business
1267	6179	Film
1268	6180	Film
1269	6186	Film
1270	6187	Politics
1271	6188	Film
1272	6196	Politics
1273	6217	Film
1274	6227	Business
1275	6228	Football
1276	6229	Football
1277	6234	Technology
1278	6236	Politics
1279	6244	Business
1280	6249	Technology
1281	6257	Football
1282	6259	Technology
1283	6264	Business
1284	6268	Business
1285	6272	Politics
1286	6280	Technology
1287	6288	Film
1288	6289	Film
1289	6301	Film
1290	6304	Football
1291	6305	Football
1292	6315	Football
1293	6316	Film
1294	6320	Film
1295	6321	Technology
1296	6333	Business
1297	6334	Football
1298	6341	Film
1299	6342	Business
1300	6347	Film
1301	6350	Technology
1302	6352	Football
1303	6356	Technology
1304	6357	Business
1305	6358	Film
1306	6381	Film
1307	6394	Business
1308	6416	Football
1309	6418	Football
1310	6422	Business
1311	6424	Business
1312	6425	Business
1313	6427	Football
1314	6431	Business
1315	6432	Business
1316	6442	Business
1317	6443	Business
1318	6445	Politics
1319	6456	Politics
1320	6459	Politics
1321	6460	Technology
1322	6473	Film
1323	6477	Film
1324	6479	Politics
1325	6482	Football
1326	6499	Technology
1327	6501	Football
1328	6515	Football
1329	6517	Technology
1330	6518	Technology
1331	6521	Football
1332	6522	Football
1333	6530	Politics
1334	6534	Technology
1335	6536	Football
1336	6538	Football
1337	6542	Film
1338	6546	Football
1339	6548	Film
1340	6558	Politics
1341	6568	Business
1342	6575	Technology
1343	6578	Technology
1344	6581	Football
1345	6590	Business
1346	6609	Business
1347	6611	Business
1348	6612	Business
1349	6624	Film
1350	6629	Technology
1351	6630	Film
1352	6632	Football
1353	6634	Business
1354	6637	Business
1355	6642	Technology
1356	6643	Film
1357	6644	Film
1358	6657	Film
1359	6660	Football
1360	6664	Business
1361	6679	Business
1362	6680	Film
1363	6685	Football
1364	6703	Business
1365	6705	Technology
1366	6706	Football
1367	6707	Business
1368	6708	Football
1369	6709	Business
1370	6710	Business
1371	6711	Football
1372	6712	Business
1373	6716	Football
1374	6723	Football
1375	6725	Film
1376	6738	Film
1377	6742	Business
1378	6755	Football
1379	6757	Politics
1380	6761	Technology
1381	6762	Film
1382	6763	Film
1383	6764	Film
1384	6769	Football
1385	6772	Football
1386	6773	Business
1387	6777	Technology
1388	6778	Film
1389	6788	Business
1390	6792	Business
1391	6794	Business
1392	6800	Business
1393	6806	Business
1394	6820	Technology
1395	6824	Politics
1396	6826	Technology
1397	6829	Film
1398	6832	Football
1399	6837	Business
1400	6840	Film
1401	6841	Technology
1402	6847	Technology
1403	6857	Business
1404	6868	Film
1405	6882	Technology
1406	6893	Football
1407	6895	Film
1408	6897	Technology
1409	6898	Business
1410	6907	Film
1411	6911	Technology
1412	6917	Politics
1413	6939	Technology
1414	6943	Business
1415	6952	Business
1416	6953	Business
1417	6954	Business
1418	6959	Business
1419	6965	Business
1420	6974	Film
1421	6982	Film
1422	6987	Film
1423	7001	Technology
1424	7003	Politics
1425	7006	Film
1426	7007	Film
1427	7012	Business
1428	7013	Technology
1429	7020	Business
1430	7024	Politics
1431	7030	Football
1432	7031	Film
1433	7035	Football
1434	7038	Football
1435	7044	Football
1436	7045	Football
1437	7049	Football
1438	7051	Technology
1439	7057	Football
1440	7058	Technology
1441	7059	Film
1442	7061	Film
1443	7068	Film
1444	7071	Technology
1445	7090	Business
1446	7101	Film
1447	7105	Business
1448	7108	Film
1449	7109	Technology
1450	7110	Technology
1451	7114	Business
1452	7121	Film
1453	7123	Film
1454	7124	Business
1455	7126	Film
1456	7132	Film
1457	7133	Business
1458	7136	Film
1459	7141	Business
1460	7142	Business
1461	7146	Film
1462	7147	Business
1463	7151	Business
1464	7153	Business
1465	7154	Business
1466	7157	Business
1467	7163	Business
1468	7166	Film
1469	7167	Business
1470	7174	Film
1471	7183	Film
1472	7186	Technology
1473	7194	Football
1474	7205	Politics
1475	7214	Business
1476	7216	Politics
1477	7221	Football
1478	7225	Film
1479	7234	Technology
1480	7240	Film
1481	7248	Film
1482	7251	Business
1483	7267	Politics
1484	7270	Film
1485	7283	Business
1486	7288	Business
1487	7291	Business
1488	7318	Business
1489	7324	Film
1490	7325	Politics
1491	7327	Technology
1492	7328	Film
1493	7329	Film
1494	7331	Technology
1495	7345	Business
1496	7362	Football
1497	7367	Film
1498	7369	Technology
1499	7370	Business
1500	7371	Business
1501	7376	Technology
1502	7377	Film
1503	7390	Film
1504	7396	Business
1505	7401	Business
1506	7411	Film
1507	7425	Film
1508	7426	Film
1509	7445	Football
1510	7454	Business
1511	7455	Business
1512	7457	Film
1513	7459	Business
1514	7461	Business
1515	7469	Football
1516	7471	Film
1517	7478	Business
1518	7488	Business
1519	7490	Business
1520	7491	Technology
1521	7496	Business
1522	7514	Technology
1523	7515	Business
1524	7521	Technology
1525	7525	Business
1526	7532	Business
1527	7548	Film
1528	7552	Film
1529	7553	Business
1530	7556	Technology
1531	7566	Business
1532	7570	Film
1533	7576	Politics
1534	7577	Business
1535	7590	Technology
1536	7601	Business
1537	7606	Business
1538	7609	Politics
1539	7612	Technology
1540	7619	Film
1541	7633	Business
1542	7641	Business
1543	7643	Business
1544	7645	Business
1545	7661	Business
1546	7666	Film
1547	7668	Business
1548	7671	Football
1549	7676	Business
1550	7677	Technology
1551	7684	Technology
1552	7693	Business
1553	7694	Technology
1554	7707	Business
1555	7710	Technology
1556	7712	Football
1557	7716	Business
1558	7717	Business
1559	7721	Business
1560	7724	Film
1561	7735	Business
1562	7737	Politics
1563	7745	Politics
1564	7757	Business
1565	7760	Business
1566	7762	Technology
1567	7764	Business
1568	7765	Film
1569	7770	Business
1570	7772	Politics
1571	7773	Business
1572	7774	Business
1573	7777	Football
1574	7783	Business
1575	7789	Business
1576	7790	Technology
1577	7800	Business
1578	7804	Football
1579	7813	Business
1580	7814	Film
1581	7816	Film
1582	7822	Business
1583	7823	Film
1584	7833	Business
1585	7836	Football
1586	7840	Business
1587	7844	Business
1588	7846	Business
1589	7848	Business
1590	7855	Film
1591	7857	Business
1592	7871	Business
1593	7877	Technology
1594	7881	Business
1595	7884	Technology
1596	7896	Business
1597	7901	Business
1598	7920	Film
1599	7926	Film
1600	7929	Technology
1601	7933	Politics
1602	7937	Technology
1603	7941	Politics
1604	7946	Business
1605	7948	Politics
1606	7954	Film
1607	7960	Technology
1608	7964	Business
1609	7968	Business
1610	7973	Film
1611	7975	Technology
1612	7978	Business
1613	7982	Technology
1614	7993	Football
1615	7994	Business
1616	7998	Football
1617	8001	Business
1618	8011	Technology
1619	8016	Business
1620	8022	Business
1621	8036	Business
1622	8040	Technology
1623	8044	Football
1624	8045	Film
1625	8046	Business
1626	8054	Football
1627	8064	Football
1628	8067	Film
1629	8083	Football
1630	8086	Film
1631	8090	Technology
1632	8095	Film
1633	8100	Business
